CPMG train data
Estimated phase correction: -2.069873 rad
time in s	real part	imag part	abs value
0.000053	-0.047665	-0.081084	0.094056
0.000103	-0.030632	-0.056173	0.063982
0.000153	-0.022318	-0.043773	0.049134
0.000203	-0.020926	-0.035689	0.041371
0.000253	-0.015484	-0.030895	0.034558
0.000303	-0.015495	-0.025717	0.030024
0.000353	-0.011238	-0.023018	0.025615
0.000403	-0.011575	-0.020353	0.023414
0.000453	-0.009526	-0.018661	0.020951
0.000503	-0.008806	-0.017053	0.019192
0.000553	-0.008495	-0.015371	0.017562
0.000603	-0.007631	-0.014649	0.016518
0.000653	-0.007960	-0.013961	0.016071
0.000703	-0.006973	-0.013489	0.015184
0.000753	-0.007215	-0.012470	0.014407
0.000803	-0.006774	-0.011866	0.013663
0.000853	-0.006969	-0.011787	0.013693
0.000903	-0.006375	-0.011124	0.012821
0.000953	-0.006255	-0.011070	0.012715
0.001003	-0.006175	-0.010755	0.012402
0.001053	-0.006087	-0.010412	0.012061
0.001103	-0.005765	-0.010300	0.011804
0.001153	-0.005276	-0.010267	0.011543
0.001203	-0.005687	-0.009693	0.011238
0.001253	-0.005267	-0.010114	0.011403
0.001303	-0.005002	-0.009966	0.011151
0.001353	-0.005529	-0.009428	0.010930
0.001403	-0.005401	-0.009299	0.010754
0.001453	-0.004751	-0.009266	0.010413
0.001503	-0.004820	-0.009129	0.010324
0.001553	-0.005186	-0.008913	0.010312
0.001603	-0.004744	-0.008959	0.010137
0.001653	-0.005094	-0.009015	0.010355
0.001703	-0.004569	-0.008404	0.009566
0.001753	-0.004679	-0.008887	0.010043
0.001803	-0.004624	-0.008219	0.009431
0.001853	-0.004385	-0.008609	0.009661
0.001903	-0.004480	-0.008275	0.009410
0.001953	-0.004499	-0.007551	0.008790
0.002003	-0.004266	-0.008330	0.009359
0.002053	-0.004421	-0.008023	0.009161
0.002103	-0.004442	-0.007947	0.009104
0.002153	-0.004104	-0.007970	0.008964
0.002203	-0.004445	-0.008147	0.009280
0.002253	-0.004161	-0.008154	0.009154
0.002303	-0.004318	-0.007675	0.008806
0.002353	-0.004130	-0.007677	0.008717
0.002403	-0.004418	-0.007795	0.008960
0.002453	-0.003989	-0.008223	0.009139
0.002503	-0.004142	-0.007725	0.008765
0.002553	-0.004066	-0.007399	0.008443
0.002603	-0.004116	-0.007647	0.008685
0.002653	-0.003817	-0.007632	0.008533
0.002703	-0.004389	-0.007565	0.008746
0.002753	-0.004231	-0.007543	0.008649
0.002803	-0.003903	-0.007383	0.008351
0.002853	-0.003678	-0.007265	0.008142
0.002903	-0.003941	-0.006887	0.007935
0.002953	-0.004264	-0.007091	0.008274
0.003003	-0.003727	-0.007200	0.008107
0.003053	-0.003727	-0.006937	0.007875
0.003103	-0.004039	-0.007116	0.008183
0.003153	-0.003992	-0.006765	0.007855
0.003203	-0.004171	-0.006591	0.007800
0.003253	-0.004276	-0.006584	0.007851
0.003303	-0.003938	-0.007146	0.008159
0.003353	-0.003625	-0.006758	0.007668
0.003403	-0.003708	-0.006699	0.007657
0.003453	-0.003379	-0.007177	0.007933
0.003503	-0.003774	-0.006391	0.007422
0.003553	-0.003752	-0.007086	0.008018
0.003603	-0.004201	-0.006971	0.008139
0.003653	-0.003745	-0.006304	0.007332
0.003703	-0.003466	-0.006771	0.007607
0.003753	-0.003381	-0.006879	0.007664
0.003803	-0.003451	-0.007114	0.007907
0.003853	-0.003308	-0.006554	0.007342
0.003903	-0.003652	-0.006639	0.007577
0.003953	-0.003640	-0.006471	0.007424
0.004003	-0.003360	-0.006451	0.007273
0.004053	-0.003598	-0.006697	0.007602
0.004103	-0.003341	-0.006550	0.007353
0.004153	-0.003640	-0.006714	0.007637
0.004203	-0.003844	-0.006180	0.007278
0.004253	-0.003496	-0.006053	0.006990
0.004303	-0.003491	-0.005960	0.006908
0.004353	-0.003218	-0.006356	0.007124
0.004403	-0.003039	-0.006143	0.006853
0.004453	-0.003215	-0.006605	0.007346
0.004503	-0.003663	-0.005910	0.006953
0.004553	-0.003387	-0.006293	0.007146
0.004603	-0.003224	-0.006578	0.007325
0.004653	-0.003123	-0.006208	0.006949
0.004703	-0.003883	-0.005844	0.007017
0.004753	-0.003561	-0.006480	0.007394
0.004803	-0.003355	-0.006539	0.007350
0.004853	-0.003710	-0.005995	0.007050
0.004903	-0.003310	-0.006015	0.006865
0.004953	-0.003110	-0.006061	0.006812
0.005003	-0.003369	-0.006494	0.007316
0.005053	-0.003404	-0.006124	0.007006
0.005103	-0.003175	-0.006063	0.006844
0.005153	-0.003487	-0.005811	0.006777
0.005203	-0.003618	-0.005980	0.006989
0.005253	-0.003094	-0.005916	0.006676
0.005303	-0.002981	-0.006358	0.007022
0.005353	-0.003248	-0.005858	0.006698
0.005403	-0.003571	-0.006265	0.007211
0.005453	-0.003477	-0.005665	0.006647
0.005503	-0.003153	-0.006440	0.007170
0.005553	-0.003371	-0.005713	0.006633
0.005603	-0.003148	-0.006078	0.006845
0.005653	-0.002857	-0.006161	0.006791
0.005703	-0.003514	-0.005829	0.006806
0.005753	-0.003488	-0.006143	0.007064
0.005803	-0.003383	-0.005900	0.006801
0.005853	-0.003140	-0.005958	0.006734
0.005903	-0.003260	-0.005929	0.006767
0.005953	-0.003737	-0.005880	0.006967
0.006003	-0.002763	-0.005482	0.006139
0.006053	-0.002929	-0.005536	0.006263
0.006103	-0.003164	-0.005831	0.006634
0.006153	-0.002828	-0.005892	0.006536
0.006203	-0.003107	-0.005663	0.006460
0.006253	-0.003345	-0.005869	0.006756
0.006303	-0.003381	-0.005791	0.006705
0.006353	-0.003169	-0.005838	0.006642
0.006403	-0.003547	-0.005969	0.006944
0.006453	-0.003244	-0.006026	0.006844
0.006503	-0.003324	-0.005276	0.006236
0.006553	-0.002769	-0.005793	0.006420
0.006603	-0.002482	-0.005438	0.005978
0.006653	-0.003311	-0.006147	0.006982
0.006703	-0.003132	-0.005500	0.006329
0.006753	-0.002778	-0.005718	0.006358
0.006803	-0.003209	-0.005945	0.006756
0.006853	-0.002906	-0.005506	0.006226
0.006903	-0.002894	-0.005509	0.006223
0.006953	-0.002618	-0.005583	0.006167
0.007003	-0.002966	-0.005371	0.006136
0.007053	-0.003087	-0.005599	0.006393
0.007103	-0.002764	-0.005600	0.006245
0.007153	-0.003110	-0.005579	0.006387
0.007203	-0.003055	-0.005232	0.006058
0.007253	-0.002858	-0.005920	0.006573
0.007303	-0.002900	-0.005249	0.005997
0.007353	-0.002596	-0.004950	0.005590
0.007403	-0.003397	-0.005176	0.006192
0.007453	-0.003460	-0.005426	0.006436
0.007503	-0.002728	-0.005596	0.006225
0.007553	-0.002715	-0.005716	0.006328
0.007603	-0.002681	-0.005499	0.006118
0.007653	-0.003189	-0.005271	0.006160
0.007703	-0.002539	-0.005805	0.006335
0.007753	-0.002861	-0.005701	0.006379
0.007803	-0.003123	-0.005871	0.006650
0.007853	-0.002909	-0.004791	0.005606
0.007903	-0.003060	-0.005758	0.006520
0.007953	-0.003225	-0.005336	0.006235
0.008003	-0.002671	-0.005083	0.005743
0.008053	-0.002710	-0.005554	0.006179
0.008103	-0.002807	-0.005192	0.005902
0.008153	-0.002577	-0.005577	0.006143
